day,time,day_in_week,class_in_session,is_peak_hours,1305_estimate,1307_estimate,total_estimate,total_cat
1,0,1,0,0,0,0,0,1
1,1,1,0,0,0,0,0,1
1,2,1,0,0,0,0,0,1
1,3,1,0,0,0,0,0,1
1,4,1,0,0,0,0,0,1
1,5,1,0,0,0,0,0,1
1,6,1,0,0,0,0,0,1
1,7,1,0,0,0,0,0,1
1,8,1,0,0,0,0,0,1
1,9,1,0,0,3,0,3,1
1,10,1,1,0,19,11,30,2
1,11,1,1,0,36,17,53,3
1,12,1,0,1,18,4,22,2
1,13,1,0,1,9,3,12,1
1,14,1,0,1,7,3,10,1
1,15,1,0,1,12,5,17,1
1,16,1,0,1,13,5,18,2
1,17,1,1,1,26,6,32,2
1,18,1,1,1,10,3,13,1
1,19,1,0,1,13,6,19,2
1,20,1,0,1,9,5,14,1
1,21,1,0,1,6,2,8,1
1,22,1,0,0,4,2,6,1
1,23,1,0,0,0,0,0,1
2,0,2,0,0,0,0,0,1
2,1,2,0,0,0,0,0,1
2,2,2,0,0,0,0,0,1
2,3,2,0,0,0,0,0,1
2,4,2,0,0,0,0,0,1
2,5,2,0,0,0,0,0,1
2,6,2,0,0,0,0,0,1
2,7,2,0,0,0,0,0,1
2,8,2,0,0,0,0,0,1
2,9,2,0,0,0,1,1,1
2,10,2,0,0,2,1,3,1
2,11,2,0,0,4,1,5,1
2,12,2,0,1,6,3,9,1
2,13,2,0,1,11,2,13,1
2,14,2,0,1,13,2,15,1
2,15,2,0,1,14,2,16,1
2,16,2,0,1,21,6,27,2
2,17,2,0,1,23,9,32,2
2,18,2,0,1,38,9,47,3
2,19,2,1,1,47,13,60,3
2,20,2,1,1,51,13,64,4
2,21,2,1,1,48,9,57,3
2,22,2,0,0,26,3,29,2
2,23,2,0,0,4,0,4,1
3,0,3,0,0,3,0,3,1
3,1,3,0,0,0,0,0,1
3,2,3,0,0,0,0,0,1
3,3,3,0,0,0,0,0,1
3,4,3,0,0,0,0,0,1
3,5,3,0,0,0,0,0,1
3,6,3,0,0,0,0,0,1
3,7,3,0,0,0,0,0,1
3,8,3,0,0,0,0,0,1
3,9,3,0,0,2,0,2,1
3,10,3,1,0,24,7,31,2
3,11,3,1,0,29,11,40,3
3,12,3,0,1,13,8,21,2
3,13,3,0,1,11,3,14,1
3,14,3,0,1,10,6,16,1
3,15,3,0,1,8,6,14,1
3,16,3,0,1,12,4,16,1
3,17,3,1,1,24,15,39,3
3,18,3,1,1,52,13,65,4
3,19,3,1,1,56,16,72,4
3,20,3,1,1,55,13,68,4
3,21,3,1,1,49,8,57,3
3,22,3,0,0,29,7,36,3
3,23,3,0,0,9,2,11,1
4,0,4,0,0,5,0,5,1
4,1,4,0,0,0,0,0,1
4,2,4,0,0,0,0,0,1
4,3,4,0,0,0,0,0,1
4,4,4,0,0,0,0,0,1
4,5,4,0,0,0,0,0,1
4,6,4,0,0,0,0,0,1
4,7,4,0,0,0,0,0,1
4,8,4,0,0,0,0,0,1
4,9,4,0,0,0,2,2,1
4,10,4,0,0,4,2,6,1
4,11,4,0,0,7,2,9,1
4,12,4,0,1,4,3,7,1
4,13,4,0,1,9,3,12,1
4,14,4,0,1,9,2,11,1
4,15,4,0,1,13,2,15,1
4,16,4,0,1,14,7,21,2
4,17,4,0,1,26,7,33,2
4,18,4,0,1,39,11,50,3
4,19,4,1,1,49,12,61,3
4,20,4,1,1,54,12,66,4
4,21,4,1,1,41,6,47,3
4,22,4,0,0,30,7,37,3
4,23,4,0,0,10,2,12,1
5,0,5,0,0,6,0,6,1
5,1,5,0,0,0,0,0,1
5,2,5,0,0,0,0,0,1
5,3,5,0,0,0,0,0,1
5,4,5,0,0,0,0,0,1
5,5,5,0,0,0,0,0,1
5,6,5,0,0,0,0,0,1
5,7,5,0,0,0,0,0,1
5,8,5,0,0,0,0,0,1
5,9,5,0,0,0,3,3,1
5,10,5,1,0,8,4,12,1
5,11,5,1,0,14,1,15,1
5,12,5,1,1,24,5,29,2
5,13,5,1,1,37,15,52,3
5,14,5,1,1,50,8,58,3
5,15,5,1,1,46,8,54,3
5,16,5,1,1,52,13,65,4
5,17,5,1,1,39,10,49,3
5,18,5,1,1,24,8,32,2
5,19,5,0,1,21,6,27,2
5,20,5,0,1,17,6,23,2
5,21,5,0,1,10,2,12,1
5,22,5,0,0,6,0,6,1
5,23,5,0,0,3,0,3,1
